Station,Station.Id,State.Code,State.Name,Network.Co,Network.Na,Elevation,Latitude,Longitude,County.Nam,County.Cod,Start.Date,End.Date,Aspect_tif,Slope_tif1,join_lat,join_lon,distance,Station Name,Southness,Lancover_code,Landcover_detail,Koppen_code_ID,Koppen_code_name,KoppenClass,elevation prompt,southness prompt,koppen prompt,landcover prompt
Merchant Valley,621,UT,UTAH,SNTL,SNOTEL,8705,38.30285,-112.43637,Beaver,1,7/23/1980,1/1/2100,158.44365,9.05426,38.29235009,-112.4548154,0.021224566,Merchant Valley,0.074341891,43,Mixed Forest,7,BSk,Arid-steppe-cold,This location has high elevation,This location has high southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests characterized by a combination of both evergreen and deciduous trees, often found in temperate regions with moderate climates."
Mesa Lakes,622,CO,COLORADO,SNTL,SNOTEL,10168,39.05738,-108.05756,Mesa,77,10/1/1985,1/1/2100,89.63078,2.27313,39.03098071,-108.0408232,0.031257663,Mesa Lakes,-0.072703836,90,Woody Wetlands,7,BSk,Arid-steppe-cold,This location has very high elevation,This location has moderate southness,This location has a climate with low precipitation and cooler temperatures.,"This location has wetlands with a predominance of woody plants, including shrubs and small trees, often found in areas with periodic flooding or high water tables."
Mica Creek,623,ID,IDAHO,SNTL,SNOTEL,4510,47.15045,-116.26643,Shoshone,79,10/1/1989,1/1/2100,49.44114,9.24057,47.15591746,-116.2471186,0.02007047,Mica Creek,0.124378332,42,Evergreen Forest,8,Csa,Temperate-dry_summer-hot_summer,This location has low elevation,This location has high southness,"This location has a climate with hot, dry summers and mild, wet winters.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Middle Creek,624,CO,COLORADO,SNTL,SNOTEL,11269,37.61779,-107.03932,Mineral,79,10/1/1979,1/1/2100,9.70734,6.95174,37.61053722,-107.0461208,0.009942506,Middle Creek,-0.595271761,71,Grassland_Herbaceous,26,Dfb,Cold-no_dry_season-warm_summer,This location has very high elevation,This location has low southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has areas dominated by grasses and other herbaceous plants, often found in regions with moderate to low rainfall and no trees."
Middle Powder,625,WY,WYOMING,SNTL,SNOTEL,7760,43.62728,-107.18138,Washakie,43,10/1/1978,1/1/2100,1.82901,17.91476,43.63321761,-107.1704586,0.012431109,Middle Powder,0.205426526,42,Evergreen Forest,7,BSk,Arid-steppe-cold,This location has moderate elevation,This location has high southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Midway Valley,626,UT,UTAH,SNTL,SNOTEL,9827,37.56933,-112.83849,Iron,21,7/22/1980,1/1/2100,13.46004,16.59229,37.55371948,-112.8278289,0.018903655,Midway Valley,-0.484634147,42,Evergreen Forest,7,BSk,Arid-steppe-cold,This location has very high elevation,This location has low southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Mill D North,628,UT,UTAH,SNTL,SNOTEL,8963,40.65883,-111.63683,Salt Lake,35,10/1/1988,1/1/2100,168.87685,18.76822,40.67869516,-111.6466197,0.022146385,Mill-D North,-0.058375432,41,Deciduous Forest,7,BSk,Arid-steppe-cold,This location has high elevation,This location has moderate southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests where trees lose their leaves seasonally, typically found in regions with distinct seasons including a warm growing season and a cold winter."
Mineral Creek,629,CO,COLORADO,SNTL,SNOTEL,10046,37.84737,-107.72657,San Juan,111,10/1/1978,1/1/2100,304.40952,14.49477,37.83780818,-107.7299787,0.010151248,Mineral Creek,-0.887710685,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has very high elevation,This location has low southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Mining Fork,631,UT,UTAH,SNTL,SNOTEL,8295,40.49384,-112.61141,Tooele,45,9/22/1988,1/1/2100,12.37966,34.85762,40.50824194,-112.6413222,0.033198683,Mining Fork,-0.290478743,41,Deciduous Forest,7,BSk,Arid-steppe-cold,This location has high elevation,This location has moderate southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests where trees lose their leaves seasonally, typically found in regions with distinct seasons including a warm growing season and a cold winter."
Molas Lake,632,CO,COLORADO,SNTL,SNOTEL,10631,37.74929,-107.68933,San Juan,111,10/1/1985,1/1/2100,260.57056,6.37898,37.7241727,-107.6678098,0.033075623,Molas Lake,-0.094074884,90,Woody Wetlands,26,Dfb,Cold-no_dry_season-warm_summer,This location has very high elevation,This location has moderate southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has wetlands with a predominance of woody plants, including shrubs and small trees, often found in areas with periodic flooding or high water tables."
Monitor Pass,633,CA,CALIFORNIA,SNTL,SNOTEL,8306,38.6683,-119.6087,Alpine,3,10/1/1990,1/1/2100,347.64304,8.98454,38.69007427,-119.6042394,0.022226465,Monitor Pass,-0.20320599,52,Shrub_Scrub,8,Csa,Temperate-dry_summer-hot_summer,This location has high elevation,This location has moderate southness,"This location has a climate with hot, dry summers and mild, wet winters.","This location has areas dominated by shrubs and small trees, often found in regions with dry or semi-arid climates, or as a transitional stage in forest succession."
Monte Cristo,634,UT,UTAH,SNTL,SNOTEL,8932,41.46547,-111.49688,Cache,5,10/1/1978,1/1/2100,108.43304,3.74435,41.47414351,-111.5222819,0.026841854,Monte Cristo,0.027254441,43,Mixed Forest,7,BSk,Arid-steppe-cold,This location has high elevation,This location has high southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests characterized by a combination of both evergreen and deciduous trees, often found in temperate regions with moderate climates."
Monument Peak,635,MT,MONTANA,SNTL,SNOTEL,8850,45.21759,-110.237,Park,67,10/1/1976,1/1/2100,339.19702,23.52058,45.22411432,-110.2167349,0.021289467,Monument Peak,-0.994640615,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has high elevation,This location has low southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Moonshine,636,ID,IDAHO,SNTL,SNOTEL,7440,44.4147,-113.39812,Lemhi,59,10/1/1979,1/1/2100,150.81879,10.57107,44.42866597,-113.387349,0.017636968,Moonshine,-0.91101558,42,Evergreen Forest,7,BSk,Arid-steppe-cold,This location has moderate elevation,This location has low southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Moose Creek,638,ID,IDAHO,SNTL,SNOTEL,6200,45.67008,-113.95315,Lemhi,59,10/1/1979,1/1/2100,215.69824,19.29205,45.67865624,-113.9468691,0.010630196,Moose Creek,-0.204965426,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has moderate elevation,This location has moderate southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Mores Creek Summit,637,ID,IDAHO,SNTL,SNOTEL,6100,43.932,-115.66588,Boise,15,9/30/1978,1/1/2100,345.38458,14.8813,43.91730631,-115.6875985,0.026222046,Mores Creek Summit,0.722351195,52,Shrub_Scrub,8,Csa,Temperate-dry_summer-hot_summer,This location has moderate elevation,This location has very high southness,"This location has a climate with hot, dry summers and mild, wet winters.","This location has areas dominated by shrubs and small trees, often found in regions with dry or semi-arid climates, or as a transitional stage in forest succession."
Morgan Creek,639,ID,IDAHO,SNTL,SNOTEL,7600,44.84237,-114.26871,Lemhi,59,10/1/1979,1/1/2100,181.73326,10.15067,44.82639014,-114.2577137,0.019397819,Morgan Creek,-0.589061158,71,Grassland_Herbaceous,7,BSk,Arid-steppe-cold,This location has moderate elevation,This location has low southness,This location has a climate with low precipitation and cooler temperatures.,"This location has areas dominated by grasses and other herbaceous plants, often found in regions with moderate to low rainfall and no trees."
Mormon Mountain,640,AZ,ARIZONA,SNTL,SNOTEL,7500,34.94141,-111.51864,Coconino,5,1/1/1963,1/1/2100,166.32106,2.69454,34.94010346,-111.5222819,0.003869148,Mormon Mountain,-0.425063477,42,Evergreen Forest,6,BSh,Arid-steppe-hot,This location has moderate elevation,This location has low southness,This location has a climate with low precipitation and high temperatures.,"This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Morse Lake,642,WA,WASHINGTON,SNTL,SNOTEL,5410,46.90585,-121.4827,Yakima,77,10/1/1978,1/1/2100,163.50813,28.29091,46.92864651,-121.4693065,0.026439849,Morse Lake,-0.016400667,42,Evergreen Forest,18,Dsb,Cold-dry_summer-warm_summer,This location has low elevation,This location has moderate southness,"This location has a continental climate with warm summers and cold winters, characterized by significant seasonal temperature variation and relatively low precipitation.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Mosby Mtn,643,UT,UTAH,SNTL,SNOTEL,9553,40.60798,-109.8881,Uintah,47,10/1/1978,1/1/2100,39.6827,8.55656,40.62187742,-109.9058904,0.022575107,Mosby Mtn,-0.306163005,42,Evergreen Forest,7,BSk,Arid-steppe-cold,This location has very high elevation,This location has moderate southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Moss Peak,646,MT,MONTANA,SNTL,SNOTEL,6780,47.68493,-113.9623,Lake,47,4/1/1961,1/1/2100,10.42339,10.07645,47.66727712,-113.9468691,0.023446443,Moss Peak,0.328410393,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has moderate elevation,This location has high southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Moss Springs,647,OR,OREGON,SNTL,SNOTEL,5760,45.27173,-117.68747,Union,61,10/1/1979,1/1/2100,267.54074,3.08976,45.28093206,-117.6770034,0.013936569,Moss Springs,-0.045333168,42,Evergreen Forest,8,Csa,Temperate-dry_summer-hot_summer,This location has low elevation,This location has moderate southness,"This location has a climate with hot, dry summers and mild, wet winters.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Mount Crag,648,WA,WASHINGTON,SNTL,SNOTEL,3960,47.7637,-123.026,Jefferson,31,10/1/1989,1/1/2100,315.41257,16.99996,47.7809126,-123.0235291,0.017389041,Mount Crag,-0.300130048,42,Evergreen Forest,9,Csb,Temperate-dry_summer-warm_summer,This location has low elevation,This location has moderate southness,"This location has a climate with warm, dry summers and mild, wet winters.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Mount Lockhart,649,MT,MONTANA,SNTL,SNOTEL,6400,47.91727,-112.8238,Teton,99,10/1/1968,1/1/2100,140.13586,12.65061,47.89454808,-112.8278289,0.023076339,Mount Lockhart,-0.027661529,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has moderate elevation,This location has moderate southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Mountain Meadows,650,ID,IDAHO,SNTL,SNOTEL,6320,45.69694,-115.22972,Idaho,49,10/1/1979,1/1/2100,128.19371,8.79194,45.67865624,-115.2524161,0.02914464,Mountain Meadows,-0.484230043,42,Evergreen Forest,18,Dsb,Cold-dry_summer-warm_summer,This location has moderate elevation,This location has low southness,"This location has a continental climate with warm summers and cold winters, characterized by significant seasonal temperature variation and relatively low precipitation.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Mt Hood Test Site,651,OR,OREGON,SNTL,SNOTEL,5370,45.32097,-121.7158,Clackamas,5,10/1/1979,1/1/2100,132.34247,5.71019,45.3377498,-121.7179822,0.016921094,Mt Hood Test Site,-0.500283074,21,Developed_Open Space,9,Csb,Temperate-dry_summer-warm_summer,This location has low elevation,This location has low southness,"This location has a climate with warm, dry summers and mild, wet winters.","This location has urban areas with open spaces and low-density development, such as parks, golf courses, and other recreational areas."
Mt Howard,653,OR,OREGON,SNTL,SNOTEL,7910,45.26522,-117.17373,Wallowa,63,10/1/1979,1/1/2100,137.39417,5.1132,45.28093206,-117.1796522,0.016791089,Mt Howard,-0.617364248,42,Evergreen Forest,18,Dsb,Cold-dry_summer-warm_summer,This location has high elevation,This location has low southness,"This location has a continental climate with warm summers and cold winters, characterized by significant seasonal temperature variation and relatively low precipitation.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Mt Rose Ski Area,652,NV,NEVADA,SNTL,SNOTEL,8801,39.31573,-119.89473,Washoe,31,10/1/1980,1/1/2100,350.30005,16.5451,39.31506941,-119.9150839,0.020364649,Mt Rose Ski Area,-0.00926094,42,Evergreen Forest,8,Csa,Temperate-dry_summer-hot_summer,This location has high elevation,This location has moderate southness,"This location has a climate with hot, dry summers and mild, wet winters.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Mud Flat,654,ID,IDAHO,SNTL,SNOTEL,5730,42.6004,-116.55925,Owyhee,73,10/1/1979,1/1/2100,42.49745,8.53516,42.6104983,-116.5579631,0.010179969,Mud Flat,0.06668583,52,Shrub_Scrub,7,BSk,Arid-steppe-cold,This location has low elevation,This location has high southness,This location has a climate with low precipitation and cooler temperatures.,"This location has areas dominated by shrubs and small trees, often found in regions with dry or semi-arid climates, or as a transitional stage in forest succession."
Mud Ridge,655,OR,OREGON,SNTL,SNOTEL,4070,45.25362,-121.73673,Clackamas,5,10/1/1978,1/1/2100,45.78577,5.31262,45.28093206,-121.7179822,0.033127488,Mud Ridge,0.190278068,42,Evergreen Forest,9,Csb,Temperate-dry_summer-warm_summer,This location has low elevation,This location has high southness,"This location has a climate with warm, dry summers and mild, wet winters.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Mule Creek,656,MT,MONTANA,SNTL,SNOTEL,8300,45.40957,-112.95927,Beaverhead,1,10/1/1977,1/1/2100,81.7762,6.16246,45.39456754,-112.9521667,0.01659913,Mule Creek,-0.11989161,42,Evergreen Forest,7,BSk,Arid-steppe-cold,This location has high elevation,This location has moderate southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
N Fk Elk Creek,657,MT,MONTANA,SNTL,SNOTEL,6250,46.8716,-113.27725,Powell,77,10/1/1967,1/1/2100,183.63396,11.3886,46.87182877,-113.2630112,0.014240646,N Fk Elk Creek,-0.137322746,42,Evergreen Forest,7,BSk,Arid-steppe-cold,This location has moderate elevation,This location has moderate southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Nast Lake,658,CO,COLORADO,SNTL,SNOTEL,8731,39.29695,-106.60786,Pitkin,97,10/1/1985,1/1/2100,252.664,1.27617,39.31506941,-106.6109385,0.018379058,Nast Lake,0.222073407,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has high elevation,This location has high southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
New Crescent Lake,660,OR,OREGON,SNTL,SNOTEL,4910,43.51185,-121.97982,Klamath,35,10/1/1979,1/1/2100,119.22533,4.16179,43.51958213,-121.9666578,0.015265329,New Crescent Lake,-0.841969458,42,Evergreen Forest,9,Csb,Temperate-dry_summer-warm_summer,This location has low elevation,This location has low southness,"This location has a climate with warm, dry summers and mild, wet winters.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
New Fork Lake,661,WY,WYOMING,SNTL,SNOTEL,8340,43.11265,-109.94947,Sublette,35,10/1/1984,1/1/2100,100.35726,3.34828,43.12185796,-109.9680593,0.02074482,New Fork Lake,-0.202130586,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has high elevation,This location has moderate southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Nez Perce Camp,662,MT,MONTANA,SNTL,SNOTEL,5650,45.73107,-114.48075,Ravalli,81,10/1/1967,1/1/2100,127.85106,6.00837,45.73547398,-114.5063893,0.026014753,Nez Perce Camp,0.156913793,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has low elevation,This location has high southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Niwot,663,CO,COLORADO,SNTL,SNOTEL,9979,40.03581,-105.5452,Boulder,13,10/1/1979,1/1/2100,110.2384,7.64993,40.05370002,-105.5540671,0.019966923,Niwot,-0.9403946,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has very high elevation,This location has low southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Noisy Basin,664,MT,MONTANA,SNTL,SNOTEL,6040,48.15678,-113.94637,Flathead,29,4/1/1961,1/1/2100,5.98396,28.64606,48.17863678,-113.9468691,0.021862475,Noisy Basin,-0.347084383,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has low elevation,This location has moderate southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
North Costilla,665,NM,NEW MEXICO,SNTL,SNOTEL,10598,36.99396,-105.25988,Taos,55,10/1/1978,1/1/2100,202.20067,4.65789,36.98554209,-105.2432226,0.018663642,North Costilla,-0.418117193,43,Mixed Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has very high elevation,This location has low southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests characterized by a combination of both evergreen and deciduous trees, often found in temperate regions with moderate climates."
North Fork,666,OR,OREGON,SNTL,SNOTEL,3060,45.5505,-122.00283,Multnomah,51,10/1/1978,1/1/2100,25.94527,8.60557,45.56502076,-122.0288267,0.029777161,North Fork,0.502411424,42,Evergreen Forest,8,Csa,Temperate-dry_summer-hot_summer,This location has low elevation,This location has very high southness,"This location has a climate with hot, dry summers and mild, wet winters.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
North Fork Jocko,667,MT,MONTANA,SNTL,SNOTEL,6330,47.2726,-113.75617,Missoula,63,4/1/1961,1/1/2100,109.80137,7.2045,47.26955294,-113.7603624,0.005182758,North Fork Jocko,-0.786926763,42,Evergreen Forest,18,Dsb,Cold-dry_summer-warm_summer,This location has moderate elevation,This location has low southness,"This location has a continental climate with warm summers and cold winters, characterized by significant seasonal temperature variation and relatively low precipitation.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
North French Creek,668,WY,WYOMING,SNTL,SNOTEL,10153,41.33087,-106.37558,Carbon,7,9/1/1962,1/1/2100,224.67383,15.95719,41.30369029,-106.3622628,0.03026687,North French Creek,-0.012316575,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has very high elevation,This location has moderate southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
North Lost Trail,669,CO,COLORADO,SNTL,SNOTEL,9219,39.07818,-107.14388,Gunnison,51,10/1/1984,1/1/2100,227.80219,19.27467,39.08779845,-107.1704586,0.028265455,North Lost Trail,-0.01514191,43,Mixed Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has very high elevation,This location has moderate southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests characterized by a combination of both evergreen and deciduous trees, often found in temperate regions with moderate climates."
Northeast Entrance,670,MT,MONTANA,SNTL,SNOTEL,7350,45.00565,-110.01406,Yellowstone National Park,113,10/1/1937,1/1/2100,206.08904,11.60949,44.99684336,-110.0302282,0.018411053,Northeast Entrance,-0.253026841,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has moderate elevation,This location has moderate southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Ochoco Meadows,671,OR,OREGON,SNTL,SNOTEL,5430,44.42917,-120.3311,Crook,13,10/1/1979,1/1/2100,209.15134,1.12169,44.42866597,-120.3502663,0.019172887,Ochoco Meadows,-0.210128629,95,Emergent Herbaceous Wetlands,7,BSk,Arid-steppe-cold,This location has low elevation,This location has moderate southness,This location has a climate with low precipitation and cooler temperatures.,"This location has wetlands characterized by the presence of herbaceous plants that emerge above the water surface, typically found in shallow water bodies."
Olallie Meadows,672,WA,WASHINGTON,SNTL,SNOTEL,4030,47.37406,-121.44213,King,33,10/1/1979,1/1/2100,344.73218,13.20419,47.38318842,-121.4693065,0.028668661,Olallie Meadows,0.39610012,42,Evergreen Forest,9,Csb,Temperate-dry_summer-warm_summer,This location has low elevation,This location has very high southness,"This location has a climate with warm, dry summers and mild, wet winters.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Overland Res,675,CO,COLORADO,SNTL,SNOTEL,9893,39.09035,-107.63583,Delta,29,10/1/1988,1/1/2100,303.01758,4.26368,39.08779845,-107.6056409,0.030296718,Overland Res,-0.131179319,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has very high elevation,This location has moderate southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Owl Creek,676,WY,WYOMING,SNTL,SNOTEL,8975,43.65868,-109.00988,Hot Springs,17,10/1/1979,1/1/2100,5.90477,17.89786,43.63321761,-109.0355257,0.036139116,Owl Creek,-0.756782995,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has high elevation,This location has low southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Paradise,679,WA,WASHINGTON,SNTL,SNOTEL,5130,46.78265,-121.74765,Pierce,53,10/1/1979,1/1/2100,326.77039,15.62559,46.75819329,-121.7179822,0.038448824,Paradise,0.082197758,42,Evergreen Forest,9,Csb,Temperate-dry_summer-warm_summer,This location has low elevation,This location has high southness,"This location has a climate with warm, dry summers and mild, wet winters.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Park Cone,680,CO,COLORADO,SNTL,SNOTEL,9621,38.81982,-106.58962,Gunnison,51,10/1/1979,1/1/2100,4.49328,17.05311,38.80370975,-106.6109385,0.026721088,Park Cone,0.211849694,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has very high elevation,This location has high southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Park Creek Ridge,681,WA,WASHINGTON,SNTL,SNOTEL,4600,48.44488,-120.91551,Chelan,7,10/1/1978,1/1/2100,142.32118,5.93806,48.46272547,-120.9097864,0.01874088,Park Creek Ridge,0.196926538,42,Evergreen Forest,18,Dsb,Cold-dry_summer-warm_summer,This location has low elevation,This location has high southness,"This location has a continental climate with warm summers and cold winters, characterized by significant seasonal temperature variation and relatively low precipitation.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Park Reservoir,682,CO,COLORADO,SNTL,SNOTEL,9987,39.04433,-107.87951,Delta,29,10/1/1978,1/1/2100,16.90535,14.17834,39.03098071,-107.8543165,0.028511652,Park Reservoir,-0.364483024,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has very high elevation,This location has low southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Parker Peak,683,WY,WYOMING,SNTL,SNOTEL,9400,44.73396,-109.91484,Park,29,10/1/1979,1/1/2100,94.54504,3.35862,44.71275466,-109.9058904,0.023016563,Parker Peak,-0.205883928,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has very high elevation,This location has moderate southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Parleys Summit,684,UT,UTAH,SNTL,SNOTEL,7585,40.76184,-111.62917,Summit,43,10/1/1978,1/1/2100,28.44338,10.63738,40.7355129,-111.6466197,0.031584932,Parleys Summit,0.923181803,41,Deciduous Forest,7,BSk,Arid-steppe-cold,This location has moderate elevation,This location has very high southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests where trees lose their leaves seasonally, typically found in regions with distinct seasons including a warm growing season and a cold winter."
Peavine Ridge,687,OR,OREGON,SNTL,SNOTEL,3420,45.04148,-121.93252,Clackamas,5,10/1/1979,1/1/2100,355.52939,10.88002,45.0536611,-121.9044889,0.03056344,Peavine Ridge,0.857344073,42,Evergreen Forest,9,Csb,Temperate-dry_summer-warm_summer,This location has low elevation,This location has very high southness,"This location has a climate with warm, dry summers and mild, wet winters.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Peterson Meadows,930,MT,MONTANA,SNTL,SNOTEL,7200,46.12588,-113.30792,Granite,39,10/1/1965,1/1/2100,89.92463,3.00966,46.13319815,-113.3251801,0.018747434,Peterson Meadows,-0.049921318,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has moderate elevation,This location has moderate southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Phantom Valley,688,CO,COLORADO,SNTL,SNOTEL,9045,40.39803,-105.84606,Grand,49,10/1/1979,1/1/2100,192.11607,5.16541,40.39460646,-105.8649116,0.019159947,Phantom Valley,0.797971543,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has high elevation,This location has very high southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Phillips Bench,689,WY,WYOMING,SNTL,SNOTEL,8200,43.51687,-110.91258,Teton,39,3/1/1976,1/1/2100,88.96738,10.13836,43.51958213,-110.9005928,0.01229015,Phillips Bench,-0.352117066,42,Evergreen Forest,18,Dsb,Cold-dry_summer-warm_summer,This location has high elevation,This location has moderate southness,"This location has a continental climate with warm summers and cold winters, characterized by significant seasonal temperature variation and relatively low precipitation.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Pickfoot Creek,690,MT,MONTANA,SNTL,SNOTEL,6650,46.57978,-111.26832,Meagher,59,6/1/1977,1/1/2100,71.41703,10.15234,46.58774007,-111.2736063,0.009555483,Pickfoot Creek,0.444094329,42,Evergreen Forest,7,BSk,Arid-steppe-cold,This location has moderate elevation,This location has very high southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
